track,start,horses,uid
Wetherby,2017-02-21 14:00:00,"{u'Next Hight': {'odds': u'80/1 ', 'uid': u'3358226985'}, u'Shalamzar': {'odds': u'28/1 ', 'uid': u'3358226959'}, u""Hugh's Secret"": {'odds': u'50/1 ', 'uid': u'3358227005'}, u'Pertuis': {'odds': u'16/1 ', 'uid': u'3358226927'}, u'Cafe Au Lait': {'odds': u'7/2 ', 'uid': u'3358226953'}, u'Gasoline': {'odds': u'11/1 ', 'uid': u'3358226938'}, u'Xhale': {'odds': u'8/1 ', 'uid': u'3358226951'}, u'Minella Suite': {'odds': u'4/1 ', 'uid': u'3358226923'}, u'Calarules': {'odds': u'3/1 ', 'uid': u'3358226941'}, u'Noble Galileo': {'odds': u'13/2 ', 'uid': u'3358226935'}, u'Medal Of Freedom': {'odds': u'12/1 ', 'uid': u'3358226945'}, u'Bohernagore': {'odds': u'11/1 ', 'uid': u'3358226932'}, u'Broadway Belle': {'odds': u'40/1 ', 'uid': u'3358226971'}}",5197991
Mahoning Valley,2017-02-21 20:32:00,"{u'Mama Zee': {'odds': u'SP', 'uid': u'3357919117'}, u'P Town Boo': {'odds': u'SP', 'uid': u'3357919102'}, u'Please Daddy': {'odds': u'SP', 'uid': u'3357919113'}, u'Tilt The Balance': {'odds': u'SP', 'uid': u'3357918995'}, u'Mi Ermana Tina': {'odds': u'SP', 'uid': u'3357919155'}, u'Red Sole Diva': {'odds': u'SP', 'uid': u'3357918958'}, u'Peace And Serenity': {'odds': u'SP', 'uid': u'3357919168'}, u'Flashy Zee': {'odds': u'SP', 'uid': u'3357919108'}, u'Lola Getz': {'odds': u'SP', 'uid': u'3357919093'}, u'Precious Beth': {'odds': u'SP', 'uid': u'3357919033'}, u'Chariot Char': {'odds': u'SP', 'uid': u'3357919143'}, u'Space Of Time': {'odds': u'SP', 'uid': u'3357919068'}}",5197813
Sam Houston Race Park,2017-02-21 20:21:00,"{u'First To Score': {'odds': u'SP', 'uid': u'3357920723'}, u'Gentle Commitment': {'odds': u'SP', 'uid': u'3357920644'}, u'Seeking Albert': {'odds': u'SP', 'uid': u'3357920710'}, u'Judah': {'odds': u'SP', 'uid': u'3357920738'}, u'Pray Some Mo': {'odds': u'SP', 'uid': u'3357920689'}, u'Disinclined': {'odds': u'SP', 'uid': u'3357920660'}, u'Thateldoit': {'odds': u'SP', 'uid': u'3357920699'}, u'Mula John': {'odds': u'SP', 'uid': u'3357920753'}, u'Decadent Doc': {'odds': u'SP', 'uid': u'3357920679'}}",5197820
Sam Houston Race Park,2017-02-21 19:26:00,"{u'Alexis Jo': {'odds': u'SP', 'uid': u'3357920686'}, u'Shezaking': {'odds': u'SP', 'uid': u'3357920657'}, u""Classe D'oro"": {'odds': u'SP', 'uid': u'3357920677'}, u'Cruzin Copper': {'odds': u'SP', 'uid': u'3357920696'}, u""Hansen's Showgirl"": {'odds': u'SP', 'uid': u'3357920748'}, u'Lady Social': {'odds': u'SP', 'uid': u'3357920779'}, u'Sing Olivia Sing': {'odds': u'SP', 'uid': u'3357920623'}, u'Texas Music': {'odds': u'SP', 'uid': u'3357920762'}, u'Saygoodnight Mabel': {'odds': u'SP', 'uid': u'3357920731'}, u'Chicken Feather': {'odds': u'SP', 'uid': u'3357920707'}, u'Unbridledagain': {'odds': u'SP', 'uid': u'3357920716'}}",5197818
Mahoning Valley,2017-02-21 21:00:00,"{u'Rollin Warrior': {'odds': u'SP', 'uid': u'3357919046'}, u'Mobil At Last': {'odds': u'SP', 'uid': u'3357919007'}, u'Norestforthewicked': {'odds': u'SP', 'uid': u'3357919150'}, u'Connorrskie': {'odds': u'SP', 'uid': u'3357919118'}, u'Wild Sunny': {'odds': u'SP', 'uid': u'3357919095'}, u'North Shore': {'odds': u'SP', 'uid': u'3357919114'}, u'Game Of Dreams': {'odds': u'SP', 'uid': u'3357919078'}, u'Landline': {'odds': u'SP', 'uid': u'3357918961'}, u'King Of The East': {'odds': u'SP', 'uid': u'3357919110'}, u""Hogan's Alley"": {'odds': u'SP', 'uid': u'3357919103'}}",5197814
Sam Houston Race Park,2017-02-21 18:59:00,"{u'Stewie Little': {'odds': u'SP', 'uid': u'3357920694'}, u'Alamo City': {'odds': u'SP', 'uid': u'3357920619'}, u'Hollywood Ice': {'odds': u'SP', 'uid': u'3357920703'}, u'Countercyclical': {'odds': u'SP', 'uid': u'3357920655'}, u'Mischievous Bull': {'odds': u'SP', 'uid': u'3357920684'}, u'Martys Wimbledon': {'odds': u'SP', 'uid': u'3357920713'}, u'Moneyman John': {'odds': u'SP', 'uid': u'3357920669'}}",5197817
Sam Houston Race Park,2017-02-21 18:05:00,"{u'Spook Aa': {'odds': u'SP', 'uid': u'3357920653'}, u'Rb Hocus Pocus': {'odds': u'SP', 'uid': u'3357920607'}, u'Il Azeus': {'odds': u'SP', 'uid': u'3357920681'}, u'Ozark Kaolena Swa': {'odds': u'SP', 'uid': u'3357920691'}, u'Wma Seasand': {'odds': u'SP', 'uid': u'3357920711'}, u'Last Call Mhf': {'odds': u'SP', 'uid': u'3357920661'}, u'Merlot Mhf': {'odds': u'SP', 'uid': u'3357920700'}, u'Lil Dude Aa': {'odds': u'SP', 'uid': u'3357920743'}, u'Tm Big Papa': {'odds': u'SP', 'uid': u'3357920725'}}",5197815
Sam Houston Race Park,2017-02-21 18:32:00,"{u'Pinetop': {'odds': u'SP', 'uid': u'3357920695'}, u'Elle Kay': {'odds': u'SP', 'uid': u'3357920654'}, u'Angel In My Eyes': {'odds': u'SP', 'uid': u'3357920685'}, u'Leestown Marty': {'odds': u'SP', 'uid': u'3357920613'}, u""Donna's Royal Slot"": {'odds': u'SP', 'uid': u'3357920674'}, u'Plucky': {'odds': u'SP', 'uid': u'3357920706'}}",5197816
Sam Houston Race Park,2017-02-21 19:53:00,"{u'Lone Star Tour': {'odds': u'SP', 'uid': u'3357920688'}, u'My Charlie Ray': {'odds': u'SP', 'uid': u'3357920734'}, u'Pure Pegasus': {'odds': u'SP', 'uid': u'3357920708'}, u'Prospect Knight': {'odds': u'SP', 'uid': u'3357920765'}, u'Magic And More': {'odds': u'SP', 'uid': u'3357920718'}, u'Quadruple Dog Dare': {'odds': u'SP', 'uid': u'3357920697'}, u'Rikleiner': {'odds': u'SP', 'uid': u'3357920676'}, u'Ex Pirate': {'odds': u'SP', 'uid': u'3357920628'}, u""Screamin' Patriot"": {'odds': u'SP', 'uid': u'3357920780'}, u'Amerocko': {'odds': u'SP', 'uid': u'3357920749'}, u'Baby Trump': {'odds': u'SP', 'uid': u'3357920658'}}",5197819
Mahoning Valley,2017-02-21 20:04:00,"{u'Scindia': {'odds': u'SP', 'uid': u'3357919021'}, u'Amina Perfect': {'odds': u'SP', 'uid': u'3357919097'}, u'Second Time': {'odds': u'SP', 'uid': u'3357918955'}, u'Nanjing Road': {'odds': u'SP', 'uid': u'3357918976'}, u'Smooth Arrival': {'odds': u'SP', 'uid': u'3357919116'}, u'Lady Panther': {'odds': u'SP', 'uid': u'3357919084'}, u'Angora': {'odds': u'SP', 'uid': u'3357919052'}, u'Our Secret Place': {'odds': u'SP', 'uid': u'3357919111'}, u'Sultry Town Cat': {'odds': u'SP', 'uid': u'3357919105'}}",5197812
